1,-0.648062,1
0.988929,-0.616251,1.01
0.978401,-0.585941,1.02
0.968391,-0.55703,1.03
0.958876,-0.529425,1.04
0.949831,-0.503043,1.05
0.941238,-0.477804,1.06
0.933075,-0.453637,1.07
0.925325,-0.430476,1.08
0.917972,-0.408261,1.09
0.910997,-0.386935,1.1
0.904387,-0.366446,1.11
0.898127,-0.346748,1.12
0.892203,-0.327794,1.13
0.886603,-0.309545,1.14
0.881315,-0.291961,1.15
0.876328,-0.275007,1.16
0.87163,-0.25865,1.17
0.867211,-0.242859,1.18
0.863062,-0.227605,1.19
0.859174,-0.21286,1.2
0.855538,-0.1986,1.21
0.852145,-0.184802,1.22
0.848988,-0.171441,1.23
0.846059,-0.158499,1.24
0.843351,-0.145956,1.25
0.840858,-0.133792,1.26
0.838572,-0.121991,1.27
0.836488,-0.110537,1.28
0.8346,-0.0994142,1.29
0.832902,-0.088608,1.3
0.831388,-0.078105,1.31
0.830054,-0.0678923,1.32
0.828894,-0.0579577,1.33
0.827904,-0.0482896,1.34
0.827079,-0.0388773,1.35
0.826414,-0.0297104,1.36
0.825907,-0.0207791,1.37
0.825552,-0.0120741,1.38
0.825346,-0.00358664,1.39
0.825284,0.00469167,1.4
0.825365,0.0127688,1.41
0.825583,0.0206522,1.42
0.825936,0.0283491,1.43
0.82642,0.0358664,1.44
0.827033,0.0432106,1.45
0.827771,0.0503879,1.46
0.828632,0.0574041,1.47
0.829612,0.064265,1.48
0.83071,0.0709759,1.49
0.831923,0.077542,1.5
0.833247,0.0839682,1.51
0.834682,0.0902592,1.52
0.836224,0.0964194,1.53
0.837871,0.102453,1.54
0.839621,0.108365,1.55
0.841472,0.114158,1.56
0.843422,0.119836,1.57
0.84547,0.125404,1.58
0.847612,0.130864,1.59
0.849848,0.13622,1.6
0.852175,0.141475,1.61
0.854591,0.146632,1.62
0.857096,0.151694,1.63
0.859688,0.156663,1.64
0.862364,0.161544,1.65
0.865124,0.166337,1.66
0.867966,0.171046,1.67
0.870888,0.175674,1.68
0.873889,0.180221,1.69
0.876967,0.184691,1.7
0.880123,0.189086,1.71
0.883353,0.193408,1.72
0.886657,0.197659,1.73
0.890034,0.201841,1.74
0.893482,0.205955,1.75
0.897,0.210004,1.76
0.900588,0.213989,1.77
0.904243,0.217912,1.78
0.907966,0.221774,1.79
0.911755,0.225577,1.8
0.915608,0.229323,1.81
0.919526,0.233013,1.82
0.923506,0.236649,1.83
0.927549,0.240231,1.84
0.931653,0.243761,1.85
0.935817,0.24724,1.86
0.940041,0.25067,1.87
0.944323,0.254052,1.88
0.948663,0.257387,1.89
0.95306,0.260676,1.9
0.957514,0.26392,1.91
0.962022,0.26712,1.92
0.966586,0.270277,1.93
0.971203,0.273393,1.94
0.975873,0.276467,1.95
0.980596,0.279502,1.96
0.985371,0.282498,1.97
0.990197,0.285455,1.98
0.995074,0.288375,1.99
1,0.291259,2
